Source,Target,weight
419,269,1
420,435,1
420,1011,3
425,788,14
425,771,18
788,771,12
427,1044,2
427,17,1
427,55,1
430,1041,1
434,921,4
434,1612,4
435,1510,2
435,237,2
435,733,1
436,397,2
436,840,1
436,931,1
840,931,1
437,4,2
437,1797,1
439,695,1
439,1659,1
440,230,1
441,623,1
442,991,14
442,723,20
991,723,11
442,624,2
442,71,1
444,234,1
444,594,1
234,594,1
445,978,1
448,35,1
449,515,1
449,165,1
449,593,2
453,1600,1
455,1065,1
460,1952,1
460,891,2
1952,891,1
460,117,1
461,803,1
461,852,1
461,35,1
464,1407,1
464,1190,1
464,393,2
466,573,5
467,635,11
467,555,10
635,555,8
467,1264,2
469,889,1
469,844,1
469,549,2
470,512,1
470,24,1
512,24,13
470,708,1
470,706,1
470,1113,1
471,1488,2
472,1945,2
472,1636,2
1945,1636,9
472,479,1
472,95,1
473,104,1
477,1176,3
477,373,1
478,377,1
479,1050,1
480,486,7
480,1269,20
480,1051,17
480,1852,12
480,645,8
645,1269,4
1051,1269,1
480,1321,5
1852,1269,2
480,1382,6
1321,1382,63
480,482,1
483,725,1
483,1055,3
1055,13,5
484,1902,4
1902,177,1
484,501,1
484,17,1
484,601,1
486,1204,1
486,1852,3
490,1143,2
493,393,1
493,564,1
494,1476,1
497,671,1
497,1954,1
1954,133,1
498,1228,1
499,1736,1
504,577,11
504,629,6
577,629,9
505,13,1
505,66,1
507,837,3
508,1241,1
508,1450,1
509,3,1
513,43,2
513,84,2
84,9,1
515,1,3
516,818,1
516,1114,7
516,503,1
1114,503,1
518,601,2
601,284,1
520,94,2
521,724,2
522,622,1
524,201,11
524,418,1
525,230,1
525,209,1
525,693,6
525,541,1
530,1500,1
531,747,1
531,1812,4
531,1747,1
531,1647,1
531,232,1
532,1617,8
533,650,2
535,217,1
535,159,1
535,264,1
536,28,3
536,827,1
536,87,3
536,60,1
536,225,1
541,82,1
82,87,1
541,352,1
541,47,1
541,1797,1
542,884,1
544,1405,1
544,1313,1
1313,311,1
546,1405,1
549,2,1
224,2,1
549,176,1
224,176,1
2,176,1
550,824,1
551,691,4
551,1461,1
553,951,1
553,954,1
553,1235,1
954,1235,3
555,223,1
556,993,5
556,786,1
560,20,1
561,655,7
561,1524,6
655,1524,7
561,867,1
564,1488,1
568,393,1
568,1005,3
568,747,2
569,116,2
570,42,2
570,1085,1
570,51,1
1085,51,2
573,303,1
578,51,1
578,1119,1
578,180,3
580,354,1
580,1271,2
580,599,1
581,1920,2
581,354,2
585,795,2
586,31,1
589,98,1
590,641,70
590,876,5
876,641,6
595,1430,1
597,1831,2
598,80,1
80,9,1
601,225,1
601,84,2
601,2,1
602,159,1
602,414,1
159,414,1
602,829,1
325,829,1
602,71,1
325,71,1
602,536,1
602,28,3
602,1262,2
602,353,1
603,1840,7
603,1678,3
603,331,1
1678,331,1
1840,1678,3
604,253,1
607,1599,2
607,602,1
607,1444,3
607,1921,3
1444,1921,5
612,1190,1
612,330,1
613,618,10
615,625,1
618,1705,3
622,1961,1
622,886,2
622,250,2
886,250,2
624,1038,1
624,145,1
624,723,1
626,3,1
628,41,1
628,393,1
628,931,1
630,864,1
634,669,1
635,1264,1
636,900,1
636,1320,1
636,1422,2
636,971,4
645,416,11
645,1787,15
416,1787,3
645,618,6
645,1200,1
648,19,1
650,775,13
650,347,3
650,224,3
651,795,1
651,798,1
657,1952,1
659,95,1
661,1736,1
662,119,1
663,1624,2
663,700,7
700,1624,1
663,1295,1
664,516,1
664,1114,1
664,876,2
664,122,2
876,122,2
664,1637,1
665,24,1
667,748,10
667,1451,3
671,416,1
672,399,1
673,695,1
676,1242,17
687,4,1
688,290,2
689,702,1
691,299,1
691,562,2
691,792,9
692,1,10
692,1961,4
692,84,1
84,1,1
692,17,1
1,17,1
692,285,1
692,54,1
1,54,1
673,439,2
696,66,2
696,88,3
697,881,1
699,1302,1
701,1648,10
701,737,10
737,1648,6
701,123,3
702,909,1
702,336,1
704,692,1
706,1107,4
707,1293,1
710,1540,1
711,891,1
714,82,1
714,1178,1
716,171,1
716,1080,2
719,1728,1
719,476,1
721,1477,1
722,1986,3
723,1535,2
723,428,1
1535,428,1
723,829,1
723,215,1
829,215,1
724,297,3
724,351,6
724,227,1
724,1122,2
297,1122,1
724,1699,2
730,1907,1
732,148,1
733,127,1
736,122,1
736,35,1
736,850,1
742,145,1
742,269,1
145,269,1
743,1201,2
745,1170,1
745,1688,1
745,24,2
748,1451,2
749,963,4
750,1467,3
750,1658,4
751,17,1
756,395,2
758,825,3
758,957,1
825,957,17
758,1244,1
758,1885,1
1244,1885,4
761,84,1
761,829,1
761,284,1
761,814,1
761,602,1
787,602,1
761,1582,1
761,87,1
763,898,3
768,927,1
770,1488,8
770,44,1
770,48,1
778,1650,1
778,729,1
779,947,1
784,197,1
786,1468,1
786,993,1
786,12,2
789,42,1
789,72,1
790,1551,1
790,1274,1
790,219,2
791,455,1
792,562,1
795,798,1
797,242,9
797,682,1
797,1540,3
798,1817,1
798,36,1
798,585,6
800,1977,1
800,182,1
1977,182,1
803,1371,3
803,1508,1
803,868,5
461,868,2
803,31,1
803,2,1
805,80,1
805,261,1
805,241,1
241,483,1
241,128,1
809,889,5
821,19,1
823,140,1
823,87,1
824,905,82
824,624,2
624,905,2
825,1860,1
827,87,5
369,87,1
829,1535,1
829,18,3
832,994,3
834,280,1
834,1237,1
836,863,1
836,1656,1
836,775,2
838,1392,1
840,1204,2
841,1905,1
844,889,6
844,45,1
844,992,2
844,809,1
845,8,5
848,396,1
850,1538,1
851,563,2
854,395,1
855,157,1
855,411,1
856,306,4
856,157,1
861,42,1
862,959,1
863,35,1
866,897,1
867,923,6
868,1508,1
873,45,1
875,1173,9
876,920,3
876,1094,2
876,1475,2
884,444,2
886,25,3
886,973,1
128,973,1
886,261,1
886,176,1
888,1683,5
889,1996,3
891,539,1
891,316,1
539,316,1
891,1023,1
460,1023,1
892,1560,1
892,122,1
893,1110,6
893,1206,11
1110,1206,7
894,563,1
897,439,1
897,1074,1
899,1278,3
899,962,1
899,71,1
900,1765,1
900,675,1
900,211,2
900,1603,2
901,1052,1
903,810,1
904,1262,1
904,120,2
908,19,6
908,999,12
913,1902,1
914,147,5
914,30,2
918,1277,1
918,1018,2
921,1311,1
921,1204,1
924,262,1
925,1190,1
926,1231,1
926,1522,1
927,1160,6
927,525,2
1160,525,2
929,1756,1
935,1900,1
936,1946,1
942,1837,1
945,4,1
945,716,1
946,973,1
946,25,1
949,539,1
949,1008,1
950,276,1
955,1685,1
957,30,1
959,1055,3
959,1204,3
961,54,1
961,1203,1
961,645,1
961,1497,2
961,563,1
961,229,1
963,1611,1
967,11,1
967,1980,1
1,1980,1
967,91,1
971,862,1
972,1761,1
973,58,1
973,132,1
976,1591,5
979,1431,2
981,257,1
983,1749,2
989,1293,1
989,644,1
989,2,1
991,1191,4
995,1557,1
995,1954,1
998,1493,1
1001,627,1
1005,1247,1
1007,1563,4
1010,156,1
1013,565,1
1015,39,2
1018,385,1
1020,79,1
1022,84,2
1023,1908,2
1024,714,1
1025,234,1
1027,584,1
1027,15,1
1028,1347,1
1037,1130,2
1037,245,5
1041,1008,4
1041,814,2
814,1008,2
1041,106,1
1041,130,1
430,130,1
1046,1078,1
1046,1905,1
1078,1905,2
1047,1995,2
1047,1640,2
1050,165,3
1053,31,1
1053,47,9
1053,121,6
1055,1231,1
1055,1311,2
1056,413,1
1056,1242,1
1056,536,2
1058,1046,1
1059,131,1
1061,636,1
1062,483,1
1066,1354,5
1068,876,1
1069,1711,2
1070,1178,4
1074,1705,2
1076,818,1
1076,550,1
1076,626,1
1076,1937,1
1078,1873,4
1080,173,1
1081,1183,1
1082,159,1
1085,1500,2
1085,1140,1
1085,898,1
1085,1323,1
1085,294,2
1087,19,3
1089,-1,1
1091,1133,11
1092,1036,1
1092,385,1
1096,754,1
1096,1123,3
1099,1576,1
1105,233,4
1105,1085,2
1105,1537,1
219,706,1
1108,1851,1
1110,1325,1
1116,1987,7
1116,1141,3
1116,1197,3
1197,1141,4
1117,767,1
1119,976,3
1120,1114,2
1120,516,1
1122,1699,1
1122,870,2
1123,1488,1
1125,1335,2
1125,1127,2
1126,716,1
1132,1671,1
1138,300,1
1138,176,1
1138,1006,1
1138,250,1
1138,1844,1
1140,1258,4
1140,1500,3
1140,39,1
1140,429,3
1140,1290,1
1140,248,1
1142,966,1
1142,388,1
1143,11,1
1143,757,1
1150,548,1
1151,128,1
1156,1814,1
1160,894,1
1165,30,1
1165,342,1
1165,1856,1
1170,1078,3
1170,39,1
1171,19,1
1171,414,2
1171,787,1
1171,1293,1
1171,518,1
1171,601,1
1172,439,1
385,54,3
1173,1858,1
1175,118,1
1175,1200,1
1179,152,1
1183,19,1
1183,215,2
135,2,5
1185,1620,1
1185,1183,1
1186,641,1
1190,1295,1
1191,723,1
1191,1488,2
1191,297,1
1191,554,1
297,554,1
1191,159,1
1192,1258,15
1193,650,1
1194,1782,5
1197,195,1
1198,1240,2
1199,369,2
1199,4,2
1199,1620,1
1620,369,1
1200,889,3
1201,197,1
1201,1635,2
1203,108,6
1203,1584,1
1203,80,1
1204,1497,4
1204,1365,2
1204,1988,2
1204,1311,1
1204,1055,1
1207,1840,1
1209,152,1
1210,1085,1
1210,209,3
1212,25,2
1217,4,1
1217,563,1
1219,201,1
1231,327,1
1231,691,1
1231,792,1
1235,1696,5
1236,1253,19
1247,470,2
1247,47,2
470,47,1
1247,1771,2
1248,750,1
1254,27,2
1255,563,1
1255,764,2
1256,618,1
1256,8,1
618,8,1
1258,30,1
1259,16,3
1262,44,1
1262,1284,1
1262,20,2
20,904,1
1267,1774,2
1274,31,2
1274,1441,1
1276,1925,3
1277,844,1
1277,252,3
1277,19,3
1284,264,1
1286,1896,1
1287,51,3
1287,287,1
287,51,1
1288,42,1
1290,1785,1
1290,1287,1
1290,1816,1
1293,227,1
1293,924,1
1295,1647,2
1297,434,2
1297,921,2
1303,248,1
1304,207,3
1307,31,1
1312,4,3
1316,284,1
43,284,1
414,284,1
1321,486,2
1321,1415,6
1382,1415,1
1321,957,1
957,1382,1
1332,82,1
1338,786,1
1338,352,1
241,352,1
1343,1448,10
1344,17,3
1352,1805,2
1352,1475,1
1356,322,1
1356,104,1
1357,1526,1
1362,1151,2
1362,1417,5
128,1417,1
1151,1417,1
1362,1256,2
128,1256,1
1151,1256,1
1417,1256,2
483,1151,1
1365,921,1
1370,875,1
1370,1544,1
1371,1817,2
1380,395,1
1381,1907,1
1381,1579,1
1383,1925,1
1383,1276,1
1391,433,2
1391,123,1
1392,1581,1
1581,838,2
1393,1450,11
1396,80,2
1400,1638,3
1405,165,4
1405,1,3
1405,88,1
88,165,1
1405,291,2
1411,33,1
1411,1860,2
33,1860,1
1416,135,1
1421,800,2
1421,1488,1
1430,898,2
1436,353,1
1447,145,1
1452,532,1
1452,563,1
1463,2,3
1473,1692,14
1476,664,1
1476,1718,1
1476,88,1
1481,129,1
1481,1920,2
1482,1497,1
1488,1787,1
1488,645,2
1490,35,1
1493,627,1
1496,634,1
1497,1553,1
1497,430,2
1498,1996,3
1499,199,1
1500,1563,1
1504,1709,2
1508,1080,2
1508,478,1
1511,1524,1
1513,1616,3
1514,57,1
1515,1888,2
1520,1463,1
1523,1969,1
1529,614,1
1530,619,2
1534,479,1
1534,352,1
1537,115,1
1537,745,4
745,230,1
1537,66,1
54,66,1
1538,1585,3
1538,1855,2
1585,1855,2
1539,1182,3
1540,61,3
1540,1861,1
1540,747,1
1540,1352,2
1541,1036,2
1542,17,1
1550,1421,1
1554,226,1
1559,674,2
1563,706,5
1565,297,4
1568,64,1
1569,1643,2
1570,553,1
1570,211,2
553,211,1
1570,1793,1
1575,341,1
1580,1666,6
1584,108,1
1585,1615,3
1589,213,1
1598,326,1
1599,309,1
1603,957,6
1605,563,1
1606,1131,1
1607,328,3
1611,1183,1
1612,620,1
1613,682,1
1613,1808,1
1628,800,1
1628,476,1
1639,469,1
1639,235,1
1645,132,1
1648,795,2
1656,4,1
1657,165,1
1658,1248,1
1659,215,1
1663,3,1
1663,921,1
1664,342,1
1674,716,1
1678,1907,2
1686,50,1
1686,1199,1
1688,54,3
1688,84,2
1691,1424,1
1697,1947,2
1701,264,1
1704,730,2
1708,176,1
1711,1905,1
1711,1078,1
1713,74,1
1721,1286,1
1721,1896,1
1724,179,2
1730,1293,1
1730,43,3
1733,530,1
1734,1772,15
1734,716,1
1738,1055,1
1752,1349,3
1763,1630,2
1767,1923,8
1767,54,3
1770,1502,1
1771,531,1
1771,1181,2
1785,1430,1
1785,898,1
1785,1,1
1785,967,1
1785,253,2
1786,1673,1
1786,43,1
1792,1358,1
1358,99,1
1793,261,1
1796,211,1
1799,1884,1
1801,24,6
1801,512,1
1801,47,1
1817,651,1
1818,4,1
1818,132,1
1818,1606,1
1820,1476,1
