Source,Target,weight
128,602,0.5
276,745,1.0
276,1015,0.5
745,1015,0.5
278,1172,1.0
278,1614,1.0
278,1277,0.5
278,405,0.5
278,1385,0.5
280,224,3.5
280,203,0.5
280,321,0.5
281,172,1.5
284,1620,0.5
284,518,2.5
284,814,1.0
284,1290,0.5
284,215,0.5
284,104,0.5
284,1496,0.5
284,1287,0.5
285,1392,0.5
285,797,3.0
286,439,0.5
287,1558,1.0
288,473,0.5
288,1878,0.5
288,471,0.5
289,1531,6.5
289,1967,0.5
290,11,0.5
290,291,0.5
11,291,0.5
292,1937,0.5
294,1917,1.0
295,1086,8.5
296,302,4.0
296,416,1.5
302,416,1.5
296,1417,1.0
296,1895,2.0
297,115,0.5
297,4,0.5
297,367,8.0
367,367,0.5
298,472,0.5
298,310,2.0
298,332,1.0
310,332,7.5
300,178,0.5
302,1895,3.0
302,751,1.5
751,296,2.0
751,1895,1.5
305,9,0.5
306,719,0.5
306,476,0.5
307,1799,1.0
309,783,1.0
311,544,2.0
313,1407,5.5
316,85,1.0
318,1785,0.5
319,525,1.0
319,6,1.0
321,1082,1.0
321,142,1.5
321,573,0.5
321,1781,1.0
322,418,0.5
324,646,0.5
325,602,1.5
325,1985,1.0
602,1985,1.0
325,175,0.5
326,1040,0.5
327,959,0.5
328,1847,1.0
328,1482,2.5
328,1497,3.0
330,98,0.5
331,6,1.5
331,31,1.0
6,31,1.0
331,118,1.5
118,418,0.5
331,1,0.5
331,910,0.5
331,38,0.5
331,1411,3.0
331,35,0.5
331,19,0.5
332,95,0.5
334,1072,3.5
335,181,0.5
335,342,0.5
335,286,0.5
338,96,1.0
341,1538,9.0
341,1658,1.5
1538,1658,2.5
341,1467,1.5
1538,1467,2.5
1658,1467,2.0
341,1927,5.0
342,593,0.5
344,9,0.5
345,1801,0.5
345,1018,0.5
347,84,0.5
347,35,0.5
347,230,0.5
94,230,0.5
349,1696,0.5
350,237,1.0
351,487,0.5
351,13,0.5
351,227,1.0
352,887,1.0
352,132,7.5
887,132,1.0
352,1167,0.5
352,94,0.5
352,334,0.5
352,901,0.5
354,597,1.5
355,205,0.5
356,1656,1.0
356,1511,1.0
836,1511,1.0
357,1551,1.5
358,525,1.0
358,1085,1.0
359,1876,1.0
359,130,2.0
360,1085,0.5
360,63,1.0
360,1159,1.0
362,832,0.5
366,1405,1.0
366,107,0.5
369,216,1.0
369,352,0.5
369,827,1.0
369,35,1.5
370,1928,4.0
370,403,0.5
370,1058,1.0
371,14,0.5
372,1121,1.0
372,728,0.5
373,118,0.5
375,87,0.5
377,1818,1.5
377,1606,1.0
377,369,1.0
377,265,0.5
377,1179,2.0
1179,35,0.5
377,1511,0.5
377,749,0.5
369,749,0.5
749,35,1.5
