Source,Target,weight
241,535,2022
241,35,2022
535,35,2022
241,64,2022
243,630,2018
630,181,2018
630,62,2018
630,77,2018
245,1130,2021
247,84,2018
248,66,2021
248,57,2018
251,594,2023
251,1500,2018
252,647,2022
255,1055,2023
255,1311,2022
255,1210,2021
255,1738,2019
255,121,2019
255,1651,2019
121,1651,2019
255,693,2019
121,693,2019
1651,693,2019
256,73,2022
257,772,2023
257,418,2019
258,321,2023
258,646,2022
258,1404,2022
258,292,2022
258,203,2020
260,400,2021
261,460,2018
128,460,2018
262,617,2023
262,581,2020
262,1213,2020
581,1213,2023
262,44,2019
262,702,2018
262,230,2018
263,1665,2021
569,1665,2021
170,1665,2021
1665,1386,2021
569,569,2018
264,1262,2019
265,1054,2023
265,408,2022
265,541,2021
265,1996,2021
265,757,2021
1996,757,2021
265,1021,2018
269,104,2020
270,593,2020
270,101,2019
271,744,2021
271,585,2020
271,798,2020
798,744,2020
744,585,2019
274,1547,2021
274,180,2021
275,966,2023
275,1142,2021
275,388,2018
276,128,2023
276,602,2023
128,602,2023
276,745,2023
276,1015,2022
745,1015,2022
278,1172,2023
278,1614,2022
278,1277,2022
278,405,2022
278,1385,2021
280,224,2024
280,203,2023
280,321,2023
281,172,2023
284,1620,2023
284,518,2023
284,814,2022
284,1290,2020
284,215,2019
284,104,2019
284,1496,2019
284,1287,2018
285,1392,2023
285,797,2023
286,439,2023
287,1558,2020
288,473,2021
288,1878,2020
288,471,2018
289,1531,2023
289,1967,2019
290,11,2019
290,291,2019
11,291,2019
292,1937,2021
294,1917,2021
295,1086,2023
296,302,2023
296,416,2023
302,416,2023
296,1417,2022
296,1895,2021
297,115,2023
297,4,2023
297,367,2023
367,367,2020
298,472,2022
298,310,2020
298,332,2020
310,332,2023
300,178,2020
302,1895,2021
302,751,2021
751,296,2021
751,1895,2021
305,9,2022
306,719,2020
306,476,2019
307,1799,2018
309,783,2018
311,544,2022
313,1407,2023
316,85,2020
318,1785,2021
319,525,2023
319,6,2022
321,1082,2023
321,142,2022
321,573,2020
321,1781,2020
322,418,2019
324,646,2023
325,602,2023
325,1985,2022
602,1985,2022
325,175,2019
326,1040,2020
327,959,2022
328,1847,2022
328,1482,2022
328,1497,2020
330,98,2022
331,6,2023
331,31,2023
6,31,2023
331,118,2022
118,418,2022
331,1,2022
331,910,2021
331,38,2021
331,1411,2021
331,35,2020
331,19,2018
332,95,2019
334,1072,2023
335,181,2023
335,342,2019
335,286,2019
338,96,2021
341,1538,2023
341,1658,2023
1538,1658,2023
341,1467,2023
1538,1467,2023
1658,1467,2023
341,1927,2023
342,593,2021
344,9,2019
345,1801,2023
345,1018,2020
347,84,2020
347,35,2020
347,230,2019
94,230,2019
349,1696,2021
350,237,2019
351,487,2020
351,13,2019
351,227,2022
352,887,2023
352,132,2023
887,132,2023
352,1167,2022
352,94,2021
352,334,2020
352,901,2019
354,597,2022
355,205,2019
356,1656,2023
356,1511,2021
836,1511,2021
357,1551,2023
358,525,2023
358,1085,2019
359,1876,2023
359,130,2023
