Source,Target,weight
347,84,1
347,35,1
347,230,1
94,230,1
349,1696,1
350,237,1
351,487,1
351,13,1
351,227,1
352,887,1
352,132,1
887,132,1
352,1167,1
352,94,1
352,334,1
352,901,1
354,597,1
355,205,1
356,1656,1
356,1511,1
836,1511,1
357,1551,1
358,525,1
358,1085,1
359,1876,1
359,130,1
360,1085,1
360,63,1
360,1159,1
362,832,1
366,1405,1
366,107,1
369,216,1
369,352,1
369,827,1
369,35,1
370,1928,1
370,403,1
370,1058,1
371,14,1
372,1121,1
372,728,1
373,118,1
375,87,1
377,1818,1
377,1606,1
377,369,1
377,265,1
377,1179,1
1179,35,1
377,1511,1
377,749,1
369,749,1
749,35,1
1606,1179,1
381,961,1
382,433,1
385,1172,1
385,21,1
385,860,1
388,966,1
390,46,1
393,892,1
393,1237,1
394,1652,1
395,325,1
396,791,1
397,716,1
397,236,1
397,35,1
399,1036,1
399,1287,1
1036,1287,1
399,1688,1
399,24,1
399,742,1
399,688,1
400,1498,1
403,1744,1
404,947,1
405,1259,1
408,557,1
408,850,1
408,211,1
850,211,1
408,1248,1
408,195,1
1248,195,1
408,1850,1
408,13,1
410,777,1
410,1653,1
777,1653,1
410,187,1
777,187,1
1653,187,1
410,1803,1
1653,1803,1
1803,777,1
411,157,1
411,856,1
412,870,1
412,41,1
414,84,1
414,1316,1
414,989,1
1316,989,1
989,43,1
414,242,1
414,85,1
416,685,1
416,35,1
685,35,1
416,1818,1
685,1818,1
416,71,1
418,1920,1
419,1264,1
419,1291,1
419,1530,1
1291,1530,1
419,269,1
420,435,1
420,1011,1
425,788,1
425,771,1
788,771,1
427,1044,1
427,17,1
427,55,1
430,1041,1
434,921,1
434,1612,1
435,1510,1
435,237,1
435,733,1
436,397,1
436,840,1
436,931,1
840,931,1
437,4,1
437,1797,1
439,695,1
439,1659,1
440,230,1
441,623,1
442,991,1
442,723,1
991,723,1
442,624,1
442,71,1
444,234,1
444,594,1
234,594,1
445,978,1
448,35,1
449,515,1
449,165,1
449,593,1
453,1600,1
455,1065,1
460,1952,1
460,891,1
1952,891,1
460,117,1
461,803,1
461,852,1
461,35,1
464,1407,1
464,1190,1
464,393,1
466,573,1
467,635,1
467,555,1
635,555,1
467,1264,1
469,889,1
469,844,1
469,549,1
470,512,1
470,24,1
512,24,1
470,708,1
470,706,1
470,1113,1
471,1488,1
472,1945,1
472,1636,1
1945,1636,1
472,479,1
472,95,1
473,104,1
477,1176,1
477,373,1
478,377,1
479,1050,1
480,486,1
480,1269,1
480,1051,1
480,1852,1
480,645,1
645,1269,1
1051,1269,1
480,1321,1
1852,1269,1
480,1382,1
1321,1382,1
480,482,1
483,725,1
483,1055,1
1055,13,1
484,1902,1
1902,177,1
484,501,1
484,17,1
484,601,1
486,1204,1
486,1852,1
490,1143,1
493,393,1
493,564,1
494,1476,1
497,671,1
497,1954,1
1954,133,1
498,1228,1
499,1736,1
504,577,1
504,629,1
577,629,1
505,13,1
505,66,1
507,837,1
508,1241,1
508,1450,1
509,3,1
513,43,1
513,84,1
84,9,1
515,1,1
516,818,1
516,1114,1
516,503,1
1114,503,1
518,601,1
601,284,1
520,94,1
521,724,1
522,622,1
524,201,1
524,418,1
525,230,1
525,209,1
525,693,1
525,541,1
530,1500,1
531,747,1
531,1812,1
531,1747,1
531,1647,1
531,232,1
532,1617,1
533,650,1
535,217,1
535,159,1
535,264,1
536,28,1
536,827,1
536,87,1
536,60,1
536,225,1
541,82,1
82,87,1
541,352,1
541,47,1
541,1797,1
542,884,1
544,1405,1
544,1313,1
1313,311,1
546,1405,1
549,2,1
224,2,1
549,176,1
224,176,1
2,176,1
550,824,1
551,691,1
551,1461,1
553,951,1
553,954,1
553,1235,1
954,1235,1
555,223,1
556,993,1
556,786,1
560,20,1
561,655,1
561,1524,1
655,1524,1
561,867,1
564,1488,1
568,393,1
568,1005,1
568,747,1
569,116,1
570,42,1
570,1085,1
570,51,1
1085,51,1
573,303,1
578,51,1
578,1119,1
578,180,1
580,354,1
580,1271,1
580,599,1
581,1920,1
581,354,1
585,795,1
586,31,1
589,98,1
590,641,1
590,876,1
876,641,1
595,1430,1
597,1831,1
598,80,1
80,9,1
601,225,1
601,84,1
601,2,1
602,159,1
602,414,1
159,414,1
602,829,1
325,829,1
602,71,1
325,71,1
602,536,1
602,28,1
602,1262,1
602,353,1
603,1840,1
603,1678,1
603,331,1
1678,331,1
1840,1678,1
604,253,1
607,1599,1
607,602,1
607,1444,1
607,1921,1
1444,1921,1
612,1190,1
612,330,1
613,618,1
615,625,1
618,1705,1
622,1961,1
622,886,1
622,250,1
886,250,1
624,1038,1
624,145,1
624,723,1
626,3,1
628,41,1
628,393,1
628,931,1
630,864,1
634,669,1
635,1264,1
636,900,1
636,1320,1
636,1422,1
636,971,1
645,416,1
645,1787,1
416,1787,1
645,618,1
645,1200,1
648,19,1
650,775,1
650,347,1
650,224,1
651,795,1
651,798,1
657,1952,1
659,95,1
661,1736,1
662,119,1
663,1624,1
663,700,1
700,1624,1
663,1295,1
664,516,1
664,1114,1
664,876,1
664,122,1
876,122,1
664,1637,1
665,24,1
667,748,1
667,1451,1
671,416,1
672,399,1
673,695,1
676,1242,1
687,4,1
688,290,1
689,702,1
691,299,1
691,562,1
691,792,1
692,1,1
692,1961,1
692,84,1
84,1,1
692,17,1
1,17,1
692,285,1
692,54,1
1,54,1
673,439,1
696,66,1
696,88,1
697,881,1
699,1302,1
701,1648,1
701,737,1
737,1648,1
701,123,1
702,909,1
702,336,1
704,692,1
706,1107,1
707,1293,1
710,1540,1
711,891,1
714,82,1
714,1178,1
716,171,1
716,1080,1
719,1728,1
719,476,1
721,1477,1
722,1986,1
723,1535,1
723,428,1
1535,428,1
723,829,1
723,215,1
829,215,1
724,297,1
724,351,1
724,227,1
724,1122,1
297,1122,1
724,1699,1
730,1907,1
732,148,1
733,127,1
736,122,1
736,35,1
736,850,1
742,145,1
742,269,1
145,269,1
743,1201,1
745,1170,1
745,1688,1
745,24,1
748,1451,1
749,963,1
750,1467,1
750,1658,1
751,17,1
756,395,1
758,825,1
758,957,1
825,957,1
758,1244,1
758,1885,1
1244,1885,1
761,84,1
761,829,1
761,284,1
761,814,1
761,602,1
787,602,1
761,1582,1
761,87,1
763,898,1
768,927,1
770,1488,1
770,44,1
770,48,1
778,1650,1
778,729,1
779,947,1
784,197,1
786,1468,1
786,993,1
786,12,1
789,42,1
789,72,1
790,1551,1
790,1274,1
790,219,1
791,455,1
792,562,1
795,798,1
797,242,1
797,682,1
797,1540,1
798,1817,1
798,36,1
798,585,1
800,1977,1
800,182,1
1977,182,1
803,1371,1
803,1508,1
803,868,1
461,868,1
803,31,1
803,2,1
805,80,1
805,261,1
805,241,1
241,483,1
241,128,1
809,889,1
821,19,1
823,140,1
823,87,1
824,905,1
824,624,1
624,905,1
825,1860,1
827,87,1
369,87,1
829,1535,1
829,18,1
832,994,1
834,280,1
834,1237,1
836,863,1
836,1656,1
836,775,1
838,1392,1
840,1204,1
841,1905,1
844,889,1
844,45,1
844,992,1
844,809,1
845,8,1
848,396,1
850,1538,1
851,563,1
854,395,1
855,157,1
855,411,1
856,306,1
856,157,1
861,42,1
862,959,1
863,35,1
866,897,1
867,923,1
868,1508,1
873,45,1
875,1173,1
876,920,1
876,1094,1
876,1475,1
884,444,1
886,25,1
886,973,1
128,973,1
886,261,1
886,176,1
888,1683,1
889,1996,1
891,539,1
891,316,1
539,316,1
891,1023,1
460,1023,1
892,1560,1
892,122,1
893,1110,1
893,1206,1
1110,1206,1
894,563,1
897,439,1
897,1074,1
899,1278,1
899,962,1
899,71,1
900,1765,1
900,675,1
900,211,1
900,1603,1
901,1052,1
903,810,1
904,1262,1
904,120,1
908,19,1
908,999,1
913,1902,1
914,147,1
914,30,1
918,1277,1
918,1018,1
921,1311,1
921,1204,1
924,262,1
925,1190,1
926,1231,1
926,1522,1
927,1160,1
927,525,1
1160,525,1
929,1756,1
935,1900,1
936,1946,1
942,1837,1
945,4,1
945,716,1
946,973,1
946,25,1
949,539,1
949,1008,1
950,276,1
955,1685,1
957,30,1
959,1055,1
959,1204,1
961,54,1
961,1203,1
961,645,1
961,1497,1
961,563,1
961,229,1
963,1611,1
967,11,1
967,1980,1
1,1980,1
967,91,1
971,862,1
972,1761,1
973,58,1
973,132,1
976,1591,1
979,1431,1
981,257,1
983,1749,1
989,1293,1
989,644,1
989,2,1
991,1191,1
995,1557,1
995,1954,1
998,1493,1
1001,627,1
1005,1247,1
1007,1563,1
1010,156,1
1013,565,1
1015,39,1
1018,385,1
1020,79,1
1022,84,1
1023,1908,1
1024,714,1
1025,234,1
1027,584,1
1027,15,1
1028,1347,1
1037,1130,1
1037,245,1
1041,1008,1
1041,814,1
814,1008,1
1041,106,1
1041,130,1
430,130,1
1046,1078,1
1046,1905,1
1078,1905,1
1047,1995,1
1047,1640,1
1050,165,1
1053,31,1
1053,47,1
1053,121,1
1055,1231,1
1055,1311,1
1056,413,1
1056,1242,1
1056,536,1
1058,1046,1
1059,131,1
1061,636,1
1062,483,1
1066,1354,1
1068,876,1
1069,1711,1
1070,1178,1
1074,1705,1
1076,818,1
1076,550,1
1076,626,1
1076,1937,1
1078,1873,1
1080,173,1
1081,1183,1
1082,159,1
1085,1500,1
1085,1140,1
1085,898,1
1085,1323,1
1085,294,1
1087,19,1
1089,-1,1
1091,1133,1
1092,1036,1
1092,385,1
1096,754,1
1096,1123,1
1099,1576,1
1105,233,1
1105,1085,1
1105,1537,1
219,706,1
1108,1851,1
1110,1325,1
1116,1987,1
1116,1141,1
1116,1197,1
1197,1141,1
1117,767,1
1119,976,1
1120,1114,1
1120,516,1
1122,1699,1
1122,870,1
1123,1488,1
1125,1335,1
1125,1127,1
1126,716,1
1132,1671,1
1138,300,1
1138,176,1
1138,1006,1
1138,250,1
1138,1844,1
1140,1258,1
1140,1500,1
1140,39,1
1140,429,1
1140,1290,1
1140,248,1
1142,966,1
1142,388,1
1143,11,1
1143,757,1
1150,548,1
1151,128,1
1156,1814,1
1160,894,1
1165,30,1
1165,342,1
1165,1856,1
1170,1078,1
1170,39,1
1171,19,1
1171,414,1
1171,787,1
1171,1293,1
1171,518,1
1171,601,1
1172,439,1
385,54,1
1173,1858,1
1175,118,1
1175,1200,1
1179,152,1
1183,19,1
1183,215,1
135,2,1
1185,1620,1
1185,1183,1
1186,641,1
1190,1295,1
1191,723,1
1191,1488,1
