Id,Label,authid,TopRank,University,Country,pub_2023,pub_cit_2023,tot_citations,curYear_citations,prevYear_citations,tourism,tourism_marketing,tourism_management,tourism_economics,destination_marketing,Hotel_and_Tourism_management,tourist_behavior,tourism_impacts,sustainable_tourism
768,Elspeth Frew,768,1,La Trobe University,,4,16,1533,114,148,1,0,0,0,0,0,0,0,0
769,"Medina-Muñoz, Diego R.",769,1,Professor University of Las Palmas de Gran Canaria,,0,0,1524,106,109,1,0,0,0,0,0,0,0,0
770,Claire Haven-Tang,770,1,Welsh Centre for Tourism Research,,9,3,1523,107,131,1,0,0,0,0,0,0,0,0
771,Lourdes Lopez-Valpuesta,771,1,Applied Economics & Management Research Group. University of Seville,,4,11,1522,173,176,1,0,1,0,0,0,0,0,0
772,Irene (Eirini) Kamenidou,772,1,"Professor of Marketing, International Hellenic University",,5,4,1522,230,298,1,1,0,0,0,0,0,0,0
773,Malene Gram,773,1,Aalborg University Business School,,1,0,1521,135,186,1,0,0,0,0,0,0,0,0
774,Aaron Gutiérrez,774,1,Universitat Rovira i Virgili,,9,25,1520,282,312,1,0,0,0,0,0,0,0,0
775,Shaohua Yang,775,1,"Associate Professor of Tourism Management, Anhui University of Technology",,6,6,1512,417,565,1,1,0,0,0,0,0,0,0
776,YinTeng Chew,776,1,"Associate Professor of Human Resource Management, Monash University Malaysia",,1,0,1495,178,282,1,0,1,0,0,0,0,0,0
777,Melchor Fernandez,777,1,IDEGA USC,,1,0,1494,197,242,1,0,0,1,0,0,0,0,0
778,Hamira Zamani-Farahani(PhD),778,1,"Tourism Consultant, Researcher, Writer and Lecturer",,2,0,1493,106,164,1,0,0,0,0,0,0,0,0
779,arvid viken,779,1,"Professon, UiT Norwegian Arctic Universityh",,1,2,1488,98,126,1,0,0,0,0,0,0,0,0
780,Luca Carrubbo,780,1,"Senior Assistant Professor of Salerno University, DISA-MIS",,10,10,1485,179,234,1,0,0,0,0,0,0,0,0
781,Sébastien Tutenges,781,1,Lund University,,8,5,1484,153,174,1,0,0,0,0,0,0,0,0
782,Xiaobo Su,782,1,Professor of human geography in University of Oregon,,3,13,1479,163,215,1,0,0,0,0,0,0,0,0
783,Rong Huang,783,1,"Associate Professor of Tourism, Plymouth University",,0,0,1477,203,206,1,1,0,0,0,0,0,0,0
784,NURIA PORRAS-BUENO,784,1,"Senior Lecturer of Business Administration, Huelva University",,3,3,1474,104,127,1,0,0,0,0,0,0,0,0
785,Andrew L Jones,785,1,University of Malta,,0,0,1474,67,128,1,0,0,0,0,0,0,0,0
786,Jeong-Yeol Park,786,1,"Associate Professor, University of Central Florida",,2,38,1472,304,351,1,0,0,0,0,0,0,0,0
787,Jinah Park,787,1,The Hong Kong Polytechnic University,,4,17,1471,361,483,1,0,0,0,0,0,0,0,0
788,Mercedes Castro-Nuño (ORCID: 0000-0002-7015-0042),788,1,Universidad de Sevilla (Spain). Applied Economics & Management Research Group,,2,2,1466,202,194,1,0,0,0,0,0,0,0,0
789,Nevenka Čavlek,789,1,University of Zagreb Faculty of Economics and Business,,0,0,1465,139,169,1,0,1,1,0,0,0,0,0
790,Rosa M. Batista-Canino,790,1,Universidad de Las Palmas de Gran Canaria,,2,8,1463,118,188,1,0,0,0,0,0,0,0,0
791,ANTONIO RUBIA,791,1,"Department of Financial Economics, University of Alicante",,0,0,1463,129,164,1,0,0,1,0,0,0,0,0
792,Lawal marafa,792,1,"Geography and Resource Management, The Chinese University of Hong Kong",,1,0,1463,175,243,1,0,0,0,0,0,0,0,1
793,Наталья Платонова,793,1,Higher School of Economics of Russia,,0,0,1463,17,64,1,0,0,0,0,0,0,0,0
794,Polina Ananchenkova (Ананченкова Полина Игоревна) (ORCID 0000-0003-3683-5168),794,1,Academy of Labour and Social Relations,,22,1,1462,54,161,1,0,0,0,0,0,0,0,0
795,Ali Öztüren,795,1,"Professor of Tourism Management, Faculty of Tourism, Eastern Mediterranean University",,8,14,1461,466,432,1,0,1,0,0,0,0,0,1
796,Kimberly Severt,796,1,University of Alabama,,0,0,1460,288,326,1,0,0,0,0,0,0,0,0
797,Dr. Ahmad Rasmi AlBattat,797,1,"Associate Professor, Post Graduate Centre, Management and Science University, Shah …",,77,88,1455,329,344,1,0,0,0,0,0,0,0,0
798,Kayode Kolawole Eluwole,798,1,Istanbul Gelisim University,,7,23,1455,439,468,1,0,0,1,0,0,0,1,0
799,Dian Utami Sutiksno,799,1,Politeknik Negeri Ambon,,2,55,1454,286,378,1,1,0,0,0,0,0,0,0
800,Vicente Ramos,800,1,University of the Baleric Islands,,3,2,1453,215,317,1,0,0,1,0,0,0,0,0
801,Assoc.Prof.Dr. Osman Culha,801,1,Alanya Alaaddin Keykubat Üniversitesi,,0,0,1452,102,158,1,0,1,0,0,0,0,0,1
